,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,6.0,0.2719,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Процветание страны и её народов
1,1,2.0,0.4804,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Повышение материального благосостояния страны и моего в частности
2,2,0.0,0.4966,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Фундаментальные открытия в области энергоресурсов, которые позволят перевернуть общественное сознание."
3,3,1.0,0.2894,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Профессиональное развитие
4,4,3.0,0.3048,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",1. Создание новой технологической платформы/технологического уклада использования атомной энергии в XXI в
5,5,5.0,0.6001,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Команда, которая готова работать сообща и коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно быть выше исполнения сроков."
6,6,8.0,0.2781,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Качество и новые прогрессивные технологии.
7,7,1.0,0.6362,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ"""
8,8,2.0,0.2703,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Стабильная, хорошо оплачиваемая, понятная и приносящая ежедневно успешные результаты работа"
9,9,2.0,0.4594,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Каждый человек должен чувствовать свою нужность, значимость в проекте ежедневно! От каждого из нас зависит и командная работа проекта, и результаты деятельности Росатома. Росатом ценит каждого Работника! Цель Росатома - сделать такой эффективный механизм стимулирования труда каждого работника, который сможет побудить каждого Работника ежедневно командой ""сворачивать горы""!"
10,10,1.0,0.7907,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Она уже есть: ""Сильней Росатом - сильней Россия!"". Работаю в одной из самых высокотехнологичных компаний, являющейся локомотивом развития и суверенности страны. Хочется больше информации о вкладе Росатома в экономику, оборону, социалку, бюджеты в сравнении с другими компаниями России."
11,11,4.0,0.2992,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Сокращение себестоимости и времени протекания процессов
12,12,1.0,0.3682,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Лидерство на глобальных рынках
13,13,8.0,0.3475,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Новые продукты
14,14,1.0,0.3314,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Повышение благосостояния жителей России
15,15,9.0,0.1897,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Модернизация производства
16,16,1.0,0.4612,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Ценность сотрудника, отдавшего большую часть жизни отрасли, после ухода на пенсию. Чувство спины на старости."
17,17,4.0,0.602,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Создание единой базы аккредитованных поставщиков товаров. Очень много на рынке поставщиков, кто предлагает не качественный товар, в следствии чего, нарушаются сроки сдачи продукции. А если бы комиссия выезжала, смотрела на возможности поставщика, его продукции, давала бы заключение о возможности закупки у данного поставщика, то было бы меньше брака."
18,18,8.0,0.476,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Ввод в эксплуатацию в г. Певек ПАТЭС
19,19,0.0,0.4771,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Становление мировым лидером в области строительства АЭС. Становление бренда ROSATOM на глобальной арене гарантией качества, безопасности, выполнения точно в срок (ответственности)."
20,20,4.0,0.2864,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Затрудняюсь ответить
21,21,0.0,0.4141,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Меня вдохновляет ""большая цель"" Росатома такая как развитие центра ядерной медицины в Боливии. Хочу в Боливию"
22,22,2.0,0.3438,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Росатом делает идеологию будущего, а правильную жизнь- сейчас"
23,23,6.0,0.207,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Я и так вдохновлен!
24,24,0.0,0.3587,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Осознавая то какой вклад вносит Росатом в обеспечение безопасности нашей страны, уже сейчас осознаю важность нашей работы."
25,25,2.0,0.6717,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Росатом-это правильно. То, что я делаю-это правильно. Для моей совести( это честно и справедливо), для моей семьи( это надежный источник благосостоянияи в юности, и в старости), для моего города( это комфорт и и перспектива), для моей страны ( это процветание и защита ). В Росатома делают то, что правильно. То, чем гордятся сейчас наши дети и будут гордиться внуки. В Росатоме делают идеологию будущего, а достойную жизнь-сейчас."
26,26,2.0,0.1787,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Работа в проекте ""Умный город"""
27,27,6.0,0.3586,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Работая в Росатоме (дивизион ЯОК) уже сейчас понимаю, как важен наш общий труд на благо сохранения мира."
28,28,2.0,0.2233,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Мирная жизнь.
29,29,9.0,0.362,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Уровень жизни работников ГК будет существенно выше. Зарплата будет достойной. В таких условиях возможно отдавать работе все.
30,30,1.0,0.56,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Использование атомной энергии во благо каждого человека. Эта энергия сильна и надежна. Она дает комфорт и безопасность каждому жителю России.
31,31,8.0,0.3089,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Формирование единой команды
32,32,8.0,0.4199,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Завоевание новых рынков.
33,33,8.0,0.315,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Выход на крупные рынки с продуктами информационных технологий
34,34,9.0,0.1897,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой",Быть лидером в эффективности!
35,35,0.0,0.2731,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Служить нашей родине.
36,36,4.0,0.3947,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","... Пусть с успехом трудиться всегда будет охота! Пусть в сознании вашем живет мысль одна, Что с вашим трудом сильна наша страна."
37,37,4.0,0.2864,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Снижение себестоимости
38,38,6.0,0.4533,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Производственная система России в ее буквальной реализации, как это происходит сейчас"
39,39,8.0,0.3972,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Повышение и удержание доли присутствия на международных рынках
40,40,1.0,0.4829,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",если эта цель принесет пользу людям
41,41,1.0,0.2697,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Глобализация атомных технологий с целью повышения уровня жизни и снижения себестоимости энергии
42,42,6.0,0.435,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","При наличии термина Интересы госкорпорации превыше интересов дивизиона, интересы дивизиона превыше интересов предприятия. Вряд ли цель Росатома может вдохновить работника предприятия."
43,43,7.0,0.3713,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Чтобы каждый работающий в отрасли чувствовал стабильность и уверенность в завтрашнем дне своем и отрасли.
44,44,4.0,0.2291,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Переход на унифицированный проект АЭС
45,45,2.0,0.3757,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Создание и активное применение во всем мире новых востребованных технологий для того, чтобы делать мир более эффективным и безопасным."
46,46,8.0,0.2544,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Цифровизация
47,47,6.0,0.5305,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Государственные приоритеты. Влияние и интерес государства, поддерживающие возможности, проекты и программы развития государственного концерна. Непосредственное участие в этих проекта и программах и, конечно же, развитие и прирост социальных аспектов, в качестве достойного вознаграждения за труд."
48,48,1.0,0.526,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","компания №1 в мире по ""Зеленой"" энергии + Корпорация ТАЛАНТОВ"
49,49,0.0,0.5734,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",обеспечение надежности ядерного щита как основы национальной безопасности
50,50,6.0,0.1812,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Космическая программа
51,51,4.0,0.3146,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Мой ежедневный труд наполнен смыслом с соответствии со стратегической целью ГК ""Росатом"" ""Снижение себестоимости продукции и сроков протекания процессов""."
52,52,3.0,0.3014,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический","Исходя из моего опыта работы в других государственных корпорациях, Росатом отличается от них в лучшую сторону по компетенциям и личностному уровню работников, корпоративной культуре, стилю работы, сложностью решаемых задач. В любом обществе должны быть лидеры процессов изменений. Росатом (его работники) могли бы стать таковыми. Мешает ""закрытость"" отрасли, связанная с ее спецификой, акцентированной на безопасность. Возможным вариантом продвижения изменений может быть модель, используемая в мире крупными корпорациями (в РФ ее активно применяют Ростех, Роснано, а в Росатоме - это единичные случаи), а именно создание значительного количества SPV-компаний различных направлений с не контролирующим участием Росатома. То есть, цель, которая могла бы вдохновить: перенос компетенций, отраслевой культуры в различные технологичные направления промышленности для трансформации общества и экономики страны."
53,53,1.0,0.3306,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Нет ответа.
54,54,8.0,0.4075,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Из существующих целей: - Повышение доли на международных рынках; - Новые продукты для российского и международных рынков. Предложение по новой ""Большой Цели"": - повышение доверия и конкурентной привлекательности российских экспортеров в лице предприятий ГК Росатом на международных рынках за счет высочайшего качества предлагаемых товаров и услуг, надежности, безупречного сервиса и активного участия в процессах устойчивого развития."
55,55,2.0,0.3095,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Рост благосостояния страны.
56,56,6.0,0.3885,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Способствовать экономическому росту, социальной стабильности и содействовать процветанию и прогрессу."
57,57,8.0,0.5252,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Новые продукты для Российского и международного рынков
58,58,1.0,0.5173,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Обеспечение глобального лидерства Росатома в области цифровизации и области ""чистой энергии"" в течении следующих 5 лет."
59,59,1.0,0.5948,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Добится решения системных технологических прорывов по всем направления научно-производственной деятельности ГК. Приумножение оборонного, научного и производственного потенциала РФ."
60,60,8.0,0.3983,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Продвижение на международном рынке, развитие новых продуктов"
61,61,1.0,0.3126,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Развитие научной деятельности на предприятиях энергетического дивизиона (АЭС)создание глобальных проектов между предприятиями
62,62,7.0,0.1933,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Большая зарплата
63,63,8.0,0.4851,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Внедрение инновационных технологий, освоение новых направлений в газовой, нефтяной и других отраслях."
64,64,1.0,0.4829,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Лидерство и высокая конкурентоспособность на мировом рынке
65,65,8.0,0.4445,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Участие в разработке новых продуктов для российского и мирового рынка
66,66,7.0,0.2727,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Вдохновение и смысл есть всегда, независимо от целей, а иначе зачем ходить на работу... ."
67,67,8.0,0.4344,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Разработка новых продуктов, цифровизация отрасли."
68,68,6.0,0.3793,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный","Освоение зарубежных рынков, повышение рейтинга Страны в рамках успешной реализации проектов за рубежом."
69,69,5.0,0.5447,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный",Достижение грузопотока по СМП до 100 млн тн в ближайшие годы.
70,70,8.0,0.2519,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение","Обеспечение безопасности миру в эксплуатации атомной отрасли. Разработка технологий в медицине, помогающих излечить серьезные заболевания."
71,71,0.0,0.3133,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",космические и летательные аппараты с ядерными реакторами
72,72,7.0,0.6628,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Когда руководители на всех уровнях ответственности уйдут от девиза ""нам нужны не умные, а послушные"", при этом ""Ценности Росатома"" станут не декларацией и пропуском к повышению статуса, а внутренней потребностью большей части коллектива отрасли. Может это и не является целью, тем более ""большой"" для Росатома, но это уж точно наполняло бы смыслом ежедневный труд."
73,73,5.0,0.6741,"работа, который, работать, команда, достижение, вопрос, молодой, задача, год, интересный","Отсутствие в поставленных задачах бессмысленных, поставленных в ранг приоритетных, не относящихся к моей непосредственной работе задач, - разделение труда."
74,74,7.0,0.4264,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Большой цели по моему соответствуют стратегические цели Росатома.
75,75,1.0,0.795,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Цель должна быть с размером и масштабом, достойным цивилизации ""Русского Мира"", к которому мы все принадлежим. Например - обеспечить энергией и пресной водой весь континент и в перспективе весь Мир. Или обеспечить судоходство на огромных атомных транспортных ледокольных судах по севморпути и в перспективе по всему миру. Или поставить глобальную цель по космической тематике подобного масштаба. И при постановке цели оперировать не цифрами и тоннами - обычные граждане плохо понимают масштаб в цифрах - а ИДЕЯМИ. Люди из нашего Мира без подобных ИДЕЙ скучают и гаснут. Западная идея ""набить пузо и погреться на солнышке на Кипре"" быстро приедается..."
76,76,8.0,0.3779,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Увеличение доли международного рынка.
77,77,1.0,0.6282,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","«Большой целью» Росатома должно стать поднятие уровня жизни своих сотрудников, особенно узкоспециализированных научного и технического направлений."
78,78,7.0,0.2727,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность",Моя большая цель это наполнить смыслом мою работу в Росатоме!
79,79,6.0,0.272,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",Участие в международных проектах
80,80,1.0,0.7155,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Атомная энергия на службе человечества. Престиж России, ""зеленые"" технологии, современная компания мирового уровня, прорывные идеи."
81,81,2.0,0.3403,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Получение максимальной прибыли от реализации продуктов (услуг) Госкорпорации ""Росатом"" в текущем и последующих периодах"
82,82,1.0,0.2894,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Каждому по заслугам
83,83,6.0,0.3447,"проект, возможность, участие, вдохновить, социальный, реализация, любой, благо, понимание, зарубежный",экономический и социальный лидер в государстве(РФ)
84,84,7.0,0.4818,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Стать поистине успешным примером цифровой компании в стране и в мире. С понятными и удобными цифровыми сервисами как по внутренним процессам, так и по процессам взаимодействия с внешними пользователями (Контрагенты, Заказчики)."
85,85,8.0,0.5252,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Новые продукты для российского и международных рынков.
86,86,8.0,0.4344,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Выход на международные рынки по новым продуктам
87,87,1.0,0.3314,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",развитие ядерных медицинских направлений
88,88,4.0,0.524,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Снижение себестоимости продукции и сроков протекания процессов.
89,89,0.0,0.5449,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Кардинальное изменение мирового топливного баланса в пользу ядерных технологий (синтез, реакторы с воспроизводством топлива и утилизацией минорных актинидов)."
90,90,2.0,0.2818,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Обеспечение безопасности во всем мире (включая ядерную, энергетическую, экологическую, промышленную, военный паритет и пр.)"
91,91,9.0,0.579,"предприятие, организация, молодёжь, хороший, производство, рабочий, условие, эффективность, мочь, такой","Росатом должен не на словах, а на деле становиться организаций с передовыми технологиями проектирования и производства. Пока, в среднем по корпорации, отставание в технологиях 25-30 лет. Росатом не на словах, а на деле развивает и поддерживает действительно собственное производство новых продуктов. Сейчас корпорация скорее будет заимствовать заграничное, чем потрудиться в создании своей продукции."
92,92,1.0,0.2894,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Суверенитет России.
93,93,1.0,0.2316,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",повышение эффективности деятельности Корпорации
94,94,0.0,0.2085,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид",Безопасность
95,95,1.0,0.2691,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой","Новые инновационные/технологичные продукты. Продукты, которые смогу позволить Госкрпорации и России стать мировым лидером."
