,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1978,1978,,,,Перечисление определенного % денежных средств от перевыполнения годовых целей Росатома в фонды для больных детей и соответственно выплата премий сотрудникам Госкорпорации за проделанную работу.
1979,1979,,,,Обеспечение 80% рейтинга президента
1980,1980,,,,Мой ежедневный труд уже наполнен смыслом. Я понимаю как моя работа влияет на достижение целей Госкорпорации.
1981,1981,,,,Конкретные перспективы личного развития
1982,1982,,,,"Благотворительный фонд Росатома помощи детям, чтобы отчисления были от общей прибыли."
1983,1983,,,,"Сделать легче жизнь простых граждан нашего государства (сократить их расходы, повысить доступность отдельных товаров/услуг и т.п.)"
1984,1984,,,,Создание и развитие новых бизнесов из проектов молодых работников
1985,1985,,,,"Научные разработки и достижения, которые изменят к лучшему нашу жизнь - от производства относительно дешевой электроэнергии на АЭС до новейших разработок в различных областях, напрямую не связанных с атомной отраслью (пример: ООО ""Русатом – Аддитивные технологии"", чья продукция может применяться и за пределами отрасли)."
1986,1986,,,,Высокая ЗП
1987,1987,,,,Я и так вдохновлён
1988,1988,,,,Работа над альтернативными источниками энергии
1989,1989,,,,Карьерный рост и комфортный труд
1990,1990,,,,"повышение качества, надежности нашей продукции является вдохновением и смыслов моего ежедневного труда"
1991,1991,,,,Становление научным и технологическим лидером
1992,1992,,,,"Рассказать обществу, что атомная энергия безопасна"
1993,1993,,,,Новые продукты и новые рынки
1994,1994,,,,"Думаю, что Цифровизация как стратегический приоритет является одной из таких больших целей."
